rank,requested,taxonomy_status,scientific,model_scientific,model_common,key,note,asset_status,plate,historical_title,match_basis,source_page,institution_record,license_status,crop_status,source_local,source_download,source_sha256,artwork_status,shipped_source_page
66,Eastern Kingbird,exact common name,Tyrannus tyrannus,Tyrannus tyrannus,Eastern Kingbird,tyrannus-tyrannus,,source downloaded - NOT a finished asset,79,Tyrant Fly-catcher,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/tyrant-fly-catcher,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0079,unverified - check exact scan,not reviewed,sources/079.jpg,https://media.audubon.org/boa_illustration/plate-79-tyrant-fly-catcher.jpg,5d85f6e79d3f90d76c5b9a6ce28ad7a2170064942f26a21228d5867bbfa97154,present,https://commons.wikimedia.org/wiki/File:79_Tyrant_Fly-catcher.jpg
67,Vermilion Flycatcher,exact common name,Pyrocephalus rubinus,Pyrocephalus rubinus,Vermilion Flycatcher,pyrocephalus-rubinus,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:PyrocephalusParvirostrisDarwin.jpg
68,White-eyed Vireo,exact common name,Vireo griseus,Vireo griseus,White-eyed Vireo,vireo-griseus,,needs source,,,,,,,,,,,missing,
69,Red-eyed Vireo,exact common name,Vireo olivaceus,Vireo olivaceus,Red-eyed Vireo,vireo-olivaceus,,source downloaded - NOT a finished asset,150,Red-eyed Vireo,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/red-eyed-vireo,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0150,unverified - check exact scan,not reviewed,sources/150.jpg,https://media.audubon.org/boa_illustration/plate-150-red-eyed-vireo.jpg,9c87dac90108f7cf4123f4e39e82f3f1468d754122f4b01fee0216aae96406bd,present,https://commons.wikimedia.org/wiki/File:150_Red-eyed_Vireo.jpg
70,Yellow-throated Vireo,exact common name,Vireo flavifrons,Vireo flavifrons,Yellow-throated Vireo,vireo-flavifrons,,source downloaded - NOT a finished asset,119,Yellow-throated Vireo,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/yellow-throated-vireo,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0119,unverified - check exact scan,not reviewed,sources/119.jpg,https://media.audubon.org/boa_illustration/plate-119-yellow-throated-vireo.jpg,90680f03b06ca824c86e1d72e6012df07882853d8c61cb01a9ecbaf3efce4c04,present,https://commons.wikimedia.org/wiki/File:119_Yellow-throated_Vireo.jpg
71,Blue-gray Gnatcatcher,exact common name,Polioptila caerulea,Polioptila caerulea,Blue-gray Gnatcatcher,polioptila-caerulea,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:84_Blue-Grey_Fly-catcher.jpg
72,Ruby-crowned Kinglet,exact common name,Corthylio calendula,Corthylio calendula,Ruby-crowned Kinglet,corthylio-calendula,,needs source,,,,,,,,,,,missing,
73,Golden-crowned Kinglet,exact common name,Regulus satrapa,Regulus satrapa,Golden-crowned Kinglet,regulus-satrapa,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:183_Goldon-crested-Wren.jpg
74,Brown Creeper,exact common name,Certhia americana,Certhia americana,Brown Creeper,certhia-americana,,needs source,,,,,,,,,,,missing,
75,Gray Catbird,exact common name,Dumetella carolinensis,Dumetella carolinensis,Gray Catbird,dumetella-carolinensis,,source downloaded - NOT a finished asset,128,Cat Bird,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/cat-bird,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0128,unverified - check exact scan,not reviewed,sources/128.jpg,https://media.audubon.org/boa_illustration/plate-128-cat-bird.jpg,32edff03ac44af6fb29cc8d00d6cc795601262e0cbb9931fdbe978cd85e1dca0,present,https://media.audubon.org/boa_illustration/plate-128-cat-bird.jpg
76,Brown Thrasher,exact common name,Toxostoma rufum,Toxostoma rufum,Brown Thrasher,toxostoma-rufum,,source downloaded - NOT a finished asset,116,Ferruginous Thrush,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/ferruginous-thrush,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0116,unverified - check exact scan,not reviewed,sources/116.jpg,https://media.audubon.org/boa_illustration/plate-116-ferruginous-thrush.jpg,834494222a200f61a6799ab25814c25c83a753584dea901a46df9e38589c9967,present,https://commons.wikimedia.org/wiki/File:116_Ferruginous_Thrush.jpg
77,Orange-crowned Warbler,exact common name,Leiothlypis celata,Leiothlypis celata,Orange-crowned Warbler,leiothlypis-celata,,source downloaded - NOT a finished asset,178,Orange-crowned Warbler,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/orange-crowned-warbler,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0178,unverified - check exact scan,not reviewed,sources/178.jpg,https://media.audubon.org/boa_illustration/plate-178-orange-crowned-warbler.jpg,914d9d803878642c05e01dbc1c607dccc547927b2d1f6c9f8578caa549e57ae4,missing,
78,Yellow-rumped Warbler,exact common name,Setophaga coronata,Setophaga coronata,Yellow-rumped Warbler,setophaga-coronata,,needs source,,,,,,,,,,,missing,
79,Yellow Warbler,exact common name,Setophaga petechia,Setophaga petechia,Yellow Warbler,setophaga-petechia,,needs source,,,,,,,,,,,missing,
80,Common Yellowthroat,exact common name,Geothlypis trichas,Geothlypis trichas,Common Yellowthroat,geothlypis-trichas,,needs source,,,,,,,,,,,missing,
81,Northern Parula,exact common name,Setophaga americana,Setophaga americana,Northern Parula,setophaga-americana,,source downloaded - NOT a finished asset,15,Blue Yellow back Warbler,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/blue-yellow-backed-warbler,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0015,unverified - check exact scan,not reviewed,sources/015.jpg,https://media.audubon.org/boa_illustration/plate-15-blue-yellow-backed-warbler.jpg,224de60be5d01aad92c7a6973fd16909e0edd99cd0ff84a381c7e7ac2c61667c,missing,
82,Black-and-white Warbler,exact common name,Mniotilta varia,Mniotilta varia,Black-and-white Warbler,mniotilta-varia,,source downloaded - NOT a finished asset,90,Black & White Creeper,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/black-white-creeper,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0090,unverified - check exact scan,not reviewed,sources/090.jpg,https://media.audubon.org/boa_illustration/plate-90-black-white-creeper.jpg,b540d47edb938f7b9b48612b3faa6f09a07f81f5cb3eb98b3abbb5ce1863bdaa,missing,
83,American Redstart,exact common name,Setophaga ruticilla,Setophaga ruticilla,American Redstart,setophaga-ruticilla,,source downloaded - NOT a finished asset,40,American Redstart,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/american-redstart,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0040,unverified - check exact scan,not reviewed,sources/040.jpg,https://media.audubon.org/boa_illustration/plate-40-american-redstart.jpg,606759c280a8bef1964d2f90fca5b7432f8ef0ef1305c8690d45641e029682f8,missing,
84,Pine Warbler,exact common name,Setophaga pinus,Setophaga pinus,Pine Warbler,setophaga-pinus,,needs source,,,,,,,,,,,missing,
85,Yellow-throated Warbler,exact common name,Setophaga dominica,Setophaga dominica,Yellow-throated Warbler,setophaga-dominica,,source downloaded - NOT a finished asset,85,Yellow Throated Warbler,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/yellow-throated-warbler,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0085,unverified - check exact scan,not reviewed,sources/085.jpg,https://media.audubon.org/boa_illustration/plate-85-yellow-throated-warbler.jpg,c0e59e2957ac8b632ee0757cd7f4e1cafb7eb6cac68db1eec2cb437d5d093cd8,missing,
86,Summer Tanager,exact common name,Piranga rubra,Piranga rubra,Summer Tanager,piranga-rubra,,source downloaded - NOT a finished asset,44,Summer Red Bird,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/summer-red-bird,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0044,unverified - check exact scan,not reviewed,sources/044.jpg,https://media.audubon.org/boa_illustration/plate-44-summer-red-bird.jpg,b49134fa62ace0e75ace22b83093749b931de2538ce81f12504616446e0b1bd9,present,https://media.audubon.org/boa_illustration/plate-44-summer-red-bird.jpg?
87,Painted Bunting,exact common name,Passerina ciris,Passerina ciris,Painted Bunting,passerina-ciris,,source downloaded - NOT a finished asset,53,Painted Finch,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/painted-finch,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0053,unverified - check exact scan,not reviewed,sources/053.jpg,https://media.audubon.org/boa_illustration/plate-53-painted-finch.jpg,76827215584ab1bbebd268274a130b0ecd2a7827691de187009a19f8049102af,present,https://commons.wikimedia.org/wiki/File:53_Painted_Finch.jpg
88,Indigo Bunting,exact common name,Passerina cyanea,Passerina cyanea,Indigo Bunting,passerina-cyanea,,source downloaded - NOT a finished asset,74,Indigo Bird,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/indigo-bird,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0074,unverified - check exact scan,not reviewed,sources/074.jpg,https://media.audubon.org/boa_illustration/plate-74-indigo-bird.jpg,273af660a90e227ba8e667c25b9d3e3b8e64055c0da29afd5b3df190e84bd127,present,https://commons.wikimedia.org/wiki/File:74_Indigo_Bird.jpg
89,Blue Grosbeak,exact common name,Passerina caerulea,Passerina caerulea,Blue Grosbeak,passerina-caerulea,,source downloaded - NOT a finished asset,122,Blue Grosbeak,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/blue-grosbeak,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0122,unverified - check exact scan,not reviewed,sources/122.jpg,https://media.audubon.org/boa_illustration/plate-122-blue-grosbeak.jpg,ab518f8d41637857e93031b4c1f34ed1b4371912e28e590987daf6ed7fcdcd39,missing,
90,Dickcissel,exact common name,Spiza americana,Spiza americana,Dickcissel,spiza-americana,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:384_Black-Throated_Bunting.jpg
91,Chipping Sparrow,exact common name,Spizella passerina,Spizella passerina,Chipping Sparrow,spizella-passerina,,source downloaded - NOT a finished asset,104,Chipping Sparrow,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/chipping-sparrow,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0104,unverified - check exact scan,not reviewed,sources/104.jpg,https://media.audubon.org/boa_illustration/plate-104-chipping-sparrow.jpg,b1ab25fdae177aa2cf87c57e1ca9684728b179f6a47b4092baebc1fc68b9029a,present,https://commons.wikimedia.org/wiki/File:104_Chipping_Sparrow.jpg
92,Lark Sparrow,exact common name,Chondestes grammacus,Chondestes grammacus,Lark Sparrow,chondestes-grammacus,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:390_I._Lark_Finch_-_2._Prairie_Finch_-_3._Brown_Song_Sparrow.jpg
93,White-throated Sparrow,exact common name,Zonotrichia albicollis,Zonotrichia albicollis,White-throated Sparrow,zonotrichia-albicollis,,source downloaded - NOT a finished asset,8,White throated Sparrow,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/white-throated-sparrow,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0008,unverified - check exact scan,not reviewed,sources/008.jpg,https://media.audubon.org/boa_illustration/plate-8-white-throated-sparrow.jpg,3eba7f8a2233ac3ca21a5980d14acdfd8340288a90ad25ce48b31fcd2ab04cfb,present,https://commons.wikimedia.org/wiki/File:8_White_throated_Sparrow.jpg
94,Lincoln's Sparrow,exact common name,Melospiza lincolnii,Melospiza lincolnii,Lincoln's Sparrow,melospiza-lincolnii,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:193_Lincoln_Finch.jpg
95,Savannah Sparrow,exact common name,Passerculus sandwichensis,Passerculus sandwichensis,Savannah Sparrow,passerculus-sandwichensis,,needs source,,,,,,,,,,,missing,
96,Eastern Meadowlark,exact common name,Sturnella magna,Sturnella magna,Eastern Meadowlark,sturnella-magna,,needs source,,,,,,,,,,,missing,
97,Orchard Oriole,exact common name,Icterus spurius,Icterus spurius,Orchard Oriole,icterus-spurius,,source downloaded - NOT a finished asset,42,Orchard Oriole,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/orchard-oriole,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0042,unverified - check exact scan,not reviewed,sources/042.jpg,https://media.audubon.org/boa_illustration/plate-42-orchard-oriole.jpg,df389c94a428204b18c0e1926f62e3bf82ded82b1ba7d0cde8e38ab5c6599ee5,missing,
98,Baltimore Oriole,exact common name,Icterus galbula,Icterus galbula,Baltimore Oriole,icterus-galbula,,source downloaded - NOT a finished asset,12,Baltimore Oriole,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/baltimore-oriole,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0012,unverified - check exact scan,not reviewed,sources/012.jpg,https://media.audubon.org/boa_illustration/plate-12-baltimore-oriole.jpg,9768e145d33480ec969bbcd868a6d675aed7b07b5a8a35fd6d2755d386aecce4,missing,
99,Black-bellied Whistling-Duck,exact common name,Dendrocygna autumnalis,Dendrocygna autumnalis,Black-bellied Whistling-Duck,dendrocygna-autumnalis,,needs source,,,,,,,,,,,missing,
100,Wood Duck,exact common name,Aix sponsa,Aix sponsa,Wood Duck,aix-sponsa,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:206_Summer_or_Wood_Duck.jpg
101,Mallard,exact common name,Anas platyrhynchos,Anas platyrhynchos,Mallard,anas-platyrhynchos,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVCommon_Wild_Duck.jpg
102,Mottled Duck,exact common name,Anas fulvigula,Anas fulvigula,Mottled Duck,anas-fulvigula,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Recueil_de_divers_oiseaux_%C3%A9trangers_et_peu_communs_(Tab._XCIII)_BHL41947768.jpg
103,Blue-winged Teal,exact common name,Spatula discors,Spatula discors,Blue-winged Teal,spatula-discors,,source downloaded - NOT a finished asset,313,Blue-Winged Teal,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/blue-winged-teal,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0313,unverified - check exact scan,not reviewed,sources/313.jpg,https://media.audubon.org/boa_illustration/plate-313-blue-winged-teal.jpg,f469f19901c495f2a97c95ea5186f43fb395aafc46a36e97e0c5b3ccf7af47a0,present,https://commons.wikimedia.org/wiki/File:313_Blue-Winged_Teal.jpg
104,Northern Shoveler,exact common name,Spatula clypeata,Spatula clypeata,Northern Shoveler,spatula-clypeata,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVShoveller_Duck.jpg
105,Gadwall,exact common name,Mareca strepera,Mareca strepera,Gadwall,mareca-strepera,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVGadwall.jpg
106,American Wigeon,exact common name,Mareca americana,Mareca americana,American Wigeon,mareca-americana,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:345_American_Widgeon.jpg
107,Green-winged Teal,exact common name,Anas crecca,Anas crecca,Green-winged Teal,anas-crecca,,existing upstream,228,Green winged Teal,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/green-winged-teal,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0228,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVCommon_Teal.jpg
108,Pied-billed Grebe,exact common name,Podilymbus podiceps,Podilymbus podiceps,Pied-billed Grebe,podilymbus-podiceps,,needs source,,,,,,,,,,,missing,
109,Neotropic Cormorant,exact common name,Nannopterum brasilianum,Nannopterum brasilianum,Neotropic Cormorant,nannopterum-brasilianum,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Phalacrocorax_brasilianus_(GM)_LCCN2003662380.jpg
110,Double-crested Cormorant,exact common name,Nannopterum auritum,Nannopterum auritum,Double-crested Cormorant,nannopterum-auritum,,source downloaded - NOT a finished asset,257,Double-crested Cormorant,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/double-crested-cormorant,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0257,unverified - check exact scan,not reviewed,sources/257.jpg,https://media.audubon.org/boa_illustration/plate-257-double-crested-cormorant.jpg,acdf06960fd536331530a8faa3435493d1111dfaa8c8d9b8a09dda391a3c3f65,present,https://commons.wikimedia.org/wiki/File:257_Double-crested_Cormorant.jpg
111,Great Blue Heron,exact common name,Ardea herodias,Ardea herodias,Great Blue Heron,ardea-herodias,,source downloaded - NOT a finished asset,211,Great blue Heron,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/great-blue-heron,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0211,unverified - check exact scan,not reviewed,sources/211.jpg,https://media.audubon.org/boa_illustration/plate-211-great-blue-heron.jpg,0fe6fba5ac42c954ff86cc05bfc574641610c7742fcedbedf81ea5d725e4a279,present,https://commons.wikimedia.org/wiki/File:211_Great_blue_Heron.jpg
112,Great Egret,exact common name,Ardea alba,Ardea alba,Great Egret,ardea-alba,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVGreat_Egret.jpg
113,Snowy Egret,exact common name,Egretta thula,Egretta thula,Snowy Egret,egretta-thula,,source downloaded - NOT a finished asset,242,"Snowy Heron, or White Egret",historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/snowy-heron,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0242,unverified - check exact scan,not reviewed,sources/242.jpg,https://media.audubon.org/boa_illustration/plate-242-snowy-heron.jpg,55cdd0d515247713d8421290a1c9ca3a322bb904247741cc54a1c5908558158d,present,https://commons.wikimedia.org/wiki/File:242_Snowy_Heron_or_White_Egret.jpg
114,Green Heron,exact common name,Butorides virescens,Butorides virescens,Green Heron,butorides-virescens,,source downloaded - NOT a finished asset,333,Green Heron,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/green-heron,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0333,unverified - check exact scan,not reviewed,sources/333.jpg,https://media.audubon.org/boa_illustration/plate-333-green-heron.jpg,e19b4a8972b65f2b7a1781db892fe274c7d931edd8d3c44cbb35bb08a9cc6b44,missing,
115,Yellow-crowned Night-Heron,exact common name,Nyctanassa violacea,Nyctanassa violacea,Yellow-crowned Night-Heron,nyctanassa-violacea,,needs source,,,,,,,,,,,missing,
116,White Ibis,exact common name,Eudocimus albus,Eudocimus albus,White Ibis,eudocimus-albus,,source downloaded - NOT a finished asset,222,White Ibis,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/white-ibis,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0222,unverified - check exact scan,not reviewed,sources/222.jpg,https://media.audubon.org/boa_illustration/plate-222-white-ibis.jpg,ae633795fb92877731b5b44803f77a128fb3fb5051dcb50c84bb6bbd58a51ef9,missing,
117,Roseate Spoonbill,exact common name,Platalea ajaja,Platalea ajaja,Roseate Spoonbill,platalea-ajaja,,source downloaded - NOT a finished asset,321,Roseate Spoonbill,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/roseate-spoonbill,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0321,unverified - check exact scan,not reviewed,sources/321.jpg,https://media.audubon.org/boa_illustration/plate-321-roseate-spoonbill.jpg,5d8cd2d3857834dc5dce3ce696ecafed520c3b15dd9c37ec7bc2658481ae8f38,present,https://commons.wikimedia.org/wiki/File:321_Roseate_Spoonbill.jpg
118,American White Pelican,exact common name,Pelecanus erythrorhynchos,Pelecanus erythrorhynchos,American White Pelican,pelecanus-erythrorhynchos,,source downloaded - NOT a finished asset,311,American White Pelican,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/american-white-pelican,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0311,unverified - check exact scan,not reviewed,sources/311.jpg,https://media.audubon.org/boa_illustration/plate-311-american-white-pelican.jpg,1f710e92bebdfaacef1e6aadd05ea63c1152d05eb99ce4f9f44aeb1be38195ae,present,https://commons.wikimedia.org/wiki/File:311_American_White_Pelican.jpg
119,Brown Pelican,exact common name,Pelecanus occidentalis,Pelecanus occidentalis,Brown Pelican,pelecanus-occidentalis,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:421_Brown_Pelican.jpg
120,Killdeer,exact common name,Charadrius vociferus,Charadrius vociferus,Killdeer,charadrius-vociferus,,needs source,,,,,,,,,,,missing,
121,Spotted Sandpiper,exact common name,Actitis macularius,Actitis macularius,Spotted Sandpiper,actitis-macularius,,existing upstream,310,Spotted Sandpiper,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/spotted-sandpiper,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0310,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVSpotted_Sandpiper.jpg
122,American Coot,exact common name,Fulica americana,Fulica americana,American Coot,fulica-americana,,source downloaded - NOT a finished asset,239,American Coot,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/american-coot,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0239,unverified - check exact scan,not reviewed,sources/239.jpg,https://media.audubon.org/boa_illustration/plate-239-american-coot.jpg,bfe43dd51b7d729ef84313844d28cd5487b56c3314230fb97010688ae3f8b0e2,present,https://commons.wikimedia.org/wiki/File:239_American_Coot.jpg
123,Common Gallinule,exact common name,Gallinula galeata,Gallinula galeata,Common Gallinule,gallinula-galeata,,source downloaded - NOT a finished asset,244,Common Gallinule,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/common-gallinule,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0244,unverified - check exact scan,not reviewed,sources/244.jpg,https://media.audubon.org/boa_illustration/plate-244-common-gallinule.jpg,a3c09fd5f76777e20fa676775bc30607f5e272d44633277e9f5e1a743ce72520,missing,
124,Sora,exact common name,Porzana carolina,Porzana carolina,Sora,porzana-carolina,,needs source,,,,,,,,,,,missing,
125,Belted Kingfisher,exact common name,Megaceryle alcyon,Megaceryle alcyon,Belted Kingfisher,megaceryle-alcyon,,source downloaded - NOT a finished asset,77,Belted Kingfisher,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/belted-kingfisher,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0077,unverified - check exact scan,not reviewed,sources/077.jpg,https://media.audubon.org/boa_illustration/plate-77-belted-kingfisher.jpg,8fd47bcfa21d0e33212f22ebf6b88f0ba1389da19486e5ada0e9236f3f429013,present,https://commons.wikimedia.org/wiki/File:77_Belted_Kingfisher.jpg
126,Loggerhead Shrike,exact common name,Lanius ludovicianus,Lanius ludovicianus,Loggerhead Shrike,lanius-ludovicianus,,source downloaded - NOT a finished asset,57,Loggerhead Shrike,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/loggerhead-shrike,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0057,unverified - check exact scan,not reviewed,sources/057.jpg,https://media.audubon.org/boa_illustration/plate-57-loggerhead-shrike.jpg,1965d2443f5d0797a78ded005f4f32ee6e3ae4492bb7aa12c5078222006ab0a3,present,https://commons.wikimedia.org/wiki/File:57_Loggerhead_Shrike.jpg
127,Monk Parakeet,exact common name,Myiopsitta monachus,Myiopsitta monachus,Monk Parakeet,myiopsitta-monachus,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Parrots_in_captivity_(Vol._3._PL._07)_Quaker_Grey_Breasted_or_Monte_Video_Parrakeet_(8527254257).jpg
128,Red-vented Bulbul,exact common name,Pycnonotus cafer,Pycnonotus cafer,Red-vented Bulbul,pycnonotus-cafer,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:MolpastesKeulemans.jpg
129,Scaly-breasted Munia,exact common name,Lonchura punctulata,Lonchura punctulata,Scaly-breasted Munia,lonchura-punctulata,,needs source,,,,,,,,,,,missing,
130,Pacific Loon,exact common name,Gavia pacifica,Gavia pacifica,Pacific Loon,gavia-pacifica,,needs source,,,,,,,,,,,missing,
131,Common Loon,exact common name,Gavia immer,Gavia immer,Common Loon,gavia-immer,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVNorthern_Diver.jpg
132,Least Grebe,exact common name,Tachybaptus dominicus,Tachybaptus dominicus,Least Grebe,tachybaptus-dominicus,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Illustrations_of_the_birds_of_Jamaica_(19501819684).jpg
133,Horned Grebe,exact common name,Podiceps auritus,Podiceps auritus,Horned Grebe,podiceps-auritus,,existing upstream,259,Horned Grebe,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/horned-grebe,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0259,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVHorned_Grebe.jpg
134,Eared Grebe,exact common name,Podiceps nigricollis,Podiceps nigricollis,Eared Grebe,podiceps-nigricollis,,existing upstream,404,Eared Grebe,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/eared-grebe,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0404,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVEared_Grebe.jpg
135,Western Grebe,exact common name,Aechmophorus occidentalis,Aechmophorus occidentalis,Western Grebe,aechmophorus-occidentalis,,needs source,,,,,,,,,,,missing,
136,Anhinga,exact common name,Anhinga anhinga,Anhinga anhinga,Anhinga,anhinga-anhinga,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:316_Black-bellied_Darter.jpg
137,Magnificent Frigatebird,exact common name,Fregata magnificens,Fregata magnificens,Magnificent Frigatebird,fregata-magnificens,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:271_Frigate_Pelican.jpg
138,American Bittern,exact common name,Botaurus lentiginosus,Botaurus lentiginosus,American Bittern,botaurus-lentiginosus,,existing upstream,337,American Bittern,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/american-bittern,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0337,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVAmerican_Bittern.jpg
139,Least Bittern,exact common name,Botaurus exilis,Ixobrychus exilis,Least Bittern,botaurus-exilis,,source downloaded - NOT a finished asset,210,Least Bittern,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/least-bittern,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0210,unverified - check exact scan,not reviewed,sources/210.jpg,https://media.audubon.org/boa_illustration/plate-210-least-bittern.jpg,db0017b45c1154a9bbcdf4c83740ce22e3a0ba8a9eede85b06d578e0781f2486,missing,
140,Little Blue Heron,exact common name,Egretta caerulea,Egretta caerulea,Little Blue Heron,egretta-caerulea,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:307_Blue_Crane_or_Heron.jpg
141,Tricolored Heron,exact common name,Egretta tricolor,Egretta tricolor,Tricolored Heron,egretta-tricolor,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:217_Louisiana_Heron.jpg
142,Reddish Egret,exact common name,Egretta rufescens,Egretta rufescens,Reddish Egret,egretta-rufescens,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:256_Purple_Heron.jpg
143,Cattle Egret,exact common name,Ardea ibis,Bubulcus ibis,Cattle Egret,ardea-ibis,,needs source,,,,,,,,,,,missing,
